MetadataComponentId,MetadataComponentName,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentType
0Rb4O000000XcwnSAC,tsaNominationList,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwgSAC,tsaContactUs,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwmSAC,tsaNominate,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwqSAC,tsaVirtualCard,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwpSAC,tsaUserProfile,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwiSAC,tsaContentList,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000XcwiSAC,tsaContentList,LightningComponentBundle,0Rb4O000000XcwjSAC,tsaContentListItem,LightningComponentBundle
0Rb4O000000XcwiSAC,tsaContentList,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwkSAC,tsaContentThumbnail,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwkSAC,tsaContentThumbnail,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000XcwjSAC,tsaContentListItem,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
0Rb4O000000XcwjSAC,tsaContentListItem,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000XcxeSAC,previewAttachments,LightningComponentBundle,0Rb4O0000008OPkSAM,errorPanel,LightningComponentBundle
0Rb4O000000XcxeSAC,previewAttachments,LightningComponentBundle,0Rb4O000000XcxfSAC,previewPDF,LightningComponentBundle
0Rb4O000000blgdSAA,monthlyPercentageChart,LightningComponentBundle,0Rb4O000000blgcSAA,horizontalBarChart,LightningComponentBundle
0Rb4O000000bloySAA,bfLookup,LightningComponentBundle,0Rb4O000000blozSAA,bfLookupItemLWC,LightningComponentBundle
0Rb4O000000blowSAA,activityPreEvaluationForm,LightningComponentBundle,0Rb4O000000046KSAQ,activityPreEvaluationBrand,LightningComponentBundle
